Participant ID,Shape,Color,Reaction Time (ms),Error
1,triangle,green,584.0,0
1,arrow,blue,,0
1,triangle,red,371.0,0
1,triangle,green,392.0,0
1,square,blue,,0
1,circle,yellow,,0
1,circle,orange,,0
1,X,red,,0
1,X,blue,,0
1,triangle,red,381.0,0
1,triangle,blue,340.0,0
1,triangle,orange,357.0,0
1,triangle,blue,345.0,0
1,arrow,yellow,,0
1,triangle,orange,413.0,0
1,minus,red,,0
1,triangle,red,325.0,0
1,arrow,orange,,0
1,triangle,orange,383.0,0
1,triangle,yellow,467.0,0
1,arrow,orange,,0
1,circle,yellow,,0
1,minus,yellow,,0
1,triangle,orange,430.0,0
1,circle,yellow,,0
1,arrow,green,,0
1,triangle,blue,387.0,0
1,triangle,yellow,414.0,0
1,arrow,yellow,,0
1,minus,green,,0
1,square,yellow,,0
1,triangle,red,332.0,0
1,triangle,red,322.0,0
1,square,green,,0
1,triangle,green,326.0,0
1,triangle,orange,436.0,0
1,arrow,blue,,0
1,circle,orange,,0
1,triangle,blue,333.0,0
1,triangle,blue,612.0,0
2,arrow,orange,632.0,0
2,triangle,yellow,,0
2,circle,green,,0
2,arrow,red,605.0,0
2,X,blue,,0
2,circle,yellow,,0
2,triangle,orange,,0
2,minus,blue,,0
2,circle,orange,,0
2,arrow,green,741.0,0
2,arrow,red,833.0,0
2,arrow,yellow,538.0,0
2,circle,red,,0
2,triangle,red,,0
2,arrow,yellow,694.0,0
2,arrow,red,635.0,0
2,minus,red,,0
2,circle,blue,,0
2,arrow,yellow,476.0,0
2,arrow,blue,454.0,0
2,arrow,green,430.0,0
2,triangle,green,,0
2,arrow,yellow,456.0,0
2,arrow,blue,648.0,0
2,arrow,yellow,816.0,0
2,X,orange,,0
2,arrow,blue,671.0,0
2,arrow,green,755.0,0
2,arrow,red,817.0,0
2,square,red,,0
2,triangle,yellow,,0
2,square,blue,,0
2,arrow,green,488.0,0
2,circle,green,,0
2,arrow,yellow,906.0,0
2,arrow,yellow,905.0,0
2,circle,red,,0
2,square,green,,0
2,arrow,yellow,946.0,0
2,square,orange,,0
3,square,orange,600.0,0
3,minus,blue,,0
3,circle,yellow,,0
3,minus,green,,0
3,square,yellow,429.0,0
3,square,blue,473.0,0
3,triangle,yellow,,0
3,circle,green,,0
3,square,blue,338.0,0
3,square,yellow,563.0,0
3,square,red,297.0,0
3,circle,green,,0
3,circle,yellow,,0
3,square,green,339.0,0
3,X,yellow,,0
3,minus,blue,,0
3,arrow,blue,,0
3,square,green,357.0,0
3,circle,blue,,0
3,circle,yellow,,0
3,triangle,orange,,0
3,square,red,341.0,0
3,square,blue,467.0,0
3,square,blue,310.0,0
3,minus,blue,,0
3,square,green,459.0,0
3,square,blue,353.0,0
3,circle,orange,,0
3,square,orange,352.0,0
3,square,yellow,327.0,0
3,circle,red,,0
3,minus,red,,0
3,circle,orange,,0
3,triangle,red,,0
3,square,red,431.0,0
3,square,red,343.0,0
3,square,green,310.0,0
3,square,blue,308.0,0
3,square,red,307.0,0
3,minus,green,,0
4,circle,red,,0
4,X,yellow,395.0,0
4,X,red,318.0,0
4,circle,yellow,,0
4,minus,green,,0
4,arrow,blue,,0
4,minus,blue,,0
4,X,yellow,347.0,0
4,triangle,green,,0
4,circle,green,,0
4,minus,blue,,0
4,arrow,orange,,0
4,X,red,615.0,0
4,X,yellow,355.0,0
4,X,orange,285.0,0
4,triangle,red,,0
4,circle,green,,0
4,X,yellow,311.0,0
4,X,orange,285.0,0
4,arrow,blue,,0
4,X,green,376.0,0
4,X,yellow,311.0,0
4,X,yellow,304.0,0
4,X,orange,295.0,0
4,arrow,green,,0
4,X,red,324.0,0
4,triangle,yellow,,0
4,circle,orange,,0
4,circle,orange,,0
4,minus,blue,,0
4,X,red,419.0,0
4,arrow,red,,0
4,circle,green,,0
4,X,yellow,381.0,0
4,X,yellow,324.0,0
4,minus,red,,0
4,X,blue,322.0,0
4,X,blue,301.0,0
4,X,yellow,358.0,0
4,X,red,332.0,0
5,triangle,orange,,0
5,circle,yellow,303.0,0
5,triangle,yellow,,0
5,minus,orange,,0
5,circle,yellow,310.0,0
5,triangle,yellow,,0
5,minus,blue,,0
5,circle,red,296.0,0
5,arrow,yellow,,0
5,circle,blue,294.0,0
5,circle,green,357.0,0
5,circle,yellow,317.0,0
5,circle,green,302.0,0
5,X,blue,,0
5,triangle,red,,0
5,circle,blue,343.0,0
5,minus,green,,0
5,square,red,,0
5,circle,yellow,322.0,0
5,square,red,,0
5,square,red,,0
5,arrow,green,,0
5,circle,blue,296.0,0
5,circle,orange,328.0,0
5,circle,green,281.0,0
5,circle,orange,299.0,0
5,arrow,orange,,0
5,square,yellow,,0
5,circle,green,377.0,0
5,circle,blue,300.0,0
5,minus,orange,,0
5,minus,green,,0
5,circle,green,318.0,0
5,triangle,red,,0
5,circle,red,346.0,0
5,circle,red,294.0,0
5,minus,green,,0
5,X,green,,0
5,circle,red,374.0,0
5,circle,blue,356.0,0
6,square,blue,,0
6,minus,orange,395.0,0
6,minus,blue,327.0,0
6,minus,red,324.0,0
6,minus,green,315.0,0
6,triangle,red,,0
6,minus,orange,321.0,0
6,X,blue,,0
6,X,green,,0
6,minus,blue,335.0,0
6,square,red,,0
6,circle,yellow,,0
6,minus,blue,313.0,0
6,triangle,blue,,0
6,X,yellow,,0
6,square,green,,0
6,minus,orange,354.0,0
6,minus,yellow,330.0,0
6,triangle,yellow,,0
6,circle,green,,0
6,circle,blue,,0
6,minus,blue,357.0,0
6,minus,blue,317.0,0
6,minus,blue,323.0,0
6,minus,green,294.0,0
6,arrow,yellow,,0
6,minus,yellow,307.0,0
6,arrow,red,,0
6,triangle,blue,,0
6,square,yellow,,0
6,minus,orange,300.0,0
6,minus,yellow,279.0,0
6,minus,red,296.0,0
6,minus,orange,322.0,0
6,minus,blue,300.0,0
6,minus,yellow,304.0,0
6,arrow,green,,0
6,X,red,,0
6,circle,blue,,0
6,circle,green,,0
