Participant ID,Shape,Color,Reaction Time (ms),Error
6,square,blue,,0
6,minus,orange,395,0
6,minus,blue,327,0
6,minus,red,324,0
6,minus,green,315,0
6,triangle,red,,0
6,minus,orange,321,0
6,X,blue,,0
6,X,green,,0
6,minus,blue,335,0
6,square,red,,0
6,circle,yellow,,0
6,minus,blue,313,0
6,triangle,blue,,0
6,X,yellow,,0
6,square,green,,0
6,minus,orange,354,0
6,minus,yellow,330,0
6,triangle,yellow,,0
6,circle,green,,0
6,circle,blue,,0
6,minus,blue,357,0
6,minus,blue,317,0
6,minus,blue,323,0
6,minus,green,294,0
6,arrow,yellow,,0
6,minus,yellow,307,0
6,arrow,red,,0
6,triangle,blue,,0
6,square,yellow,,0
6,minus,orange,300,0
6,minus,yellow,279,0
6,minus,red,296,0
6,minus,orange,322,0
6,minus,blue,300,0
6,minus,yellow,304,0
6,arrow,green,,0
6,X,red,,0
6,circle,blue,,0
6,circle,green,,0
